title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
"Aleck Maury, Sportsman",Caroline Gordon,4.16,31,1971-01-01,287,"['Fiction', 'Classics', 'Southern', 'Novels']",19,5,42,1,2,4,8,16
Run Man Run,Chester Himes,3.77,236,1960-01-01,192,"['Noir', 'Fiction', 'Crime', 'Mystery', 'Thriller', 'Classics', 'Pulp']",419,40,147,3,8,75,104,46
334,Thomas M. Disch,3.65,1140,1972-11-01,258,"['Science Fiction', 'Fiction', 'Dystopia', 'Speculative Fiction', 'Short Stories', 'Literature', 'Science Fiction Fantasy']",262,115,315,45,125,305,377,288
Heartstones,Ruth Rendell,3.69,759,1987-01-01,85,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Gothic', 'Mystery Thriller', 'Novella']",1514,84,454,12,59,241,286,161
The Mark of the Horse Lord,Rosemary Sutcliff,4.18,970,1965-01-01,289,"['Historical Fiction', 'Fiction', 'Historical', 'Young Adult', 'Fantasy', 'Adventure', 'Classics']",620,114,121,10,33,151,359,417
Marxism and Literature,Raymond Williams,4.07,1616,1977-01-01,224,"['Philosophy', 'Theory', 'Nonfiction', 'Literary Criticism', 'Politics', 'Criticism', 'Cultural Studies']",231,57,193,43,80,299,485,709
Cinder Edna,Ellen Jackson,4.15,3227,1994-04-01,32,"['Picture Books', 'Childrens', 'Fairy Tales', 'Cinderella', 'Fantasy', 'Fiction', 'Fractured Fairy Tales', 'Picture Books', 'Childrens', 'Fairy Tales', 'Cinderella', 'Fantasy', 'Fiction', 'Fractured Fairy Tales', 'Picture Books', 'Childrens', 'Fairy Tales', 'Cinderella', 'Fantasy', 'Fiction', 'Fractured Fairy Tales']",17,373,87,58,151,552,957,1509
Molly: An American Girl : 1944,Valerie Tripp,3.98,5417,1990-01-01,398,"['Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Middle Grade', 'Young Adult', 'World War II']",370,149,254,78,282,1349,1669,2039
On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,4.24,28127,1976-01-01,321,"['Writing', 'Nonfiction', 'Reference', 'Business', 'Self Help', 'Communication', 'Language']",414,2282,43,259,760,4014,10055,13039
Shades of Twilight,Linda Howard,4.11,10406,1996-07-01,384,"['Romance', 'Romantic Suspense', 'Contemporary Romance', 'Contemporary', 'Suspense', 'Mystery', 'Fiction']",6852,587,279,162,454,1846,3593,4351
The Golden Name Day,Jennie D. Lindquist,4.18,669,1955-01-01,248,"['Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Historical Fiction', 'Juvenile', 'Classics', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Historical Fiction', 'Juvenile', 'Classics', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Historical Fiction', 'Juvenile', 'Classics']",19,69,6,18,30,104,178,339
The Terrible Troll-Bird,Ingri d'Aulaire,3.81,107,1976-08-01,52,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Picture Books', 'Childrens', 'Animals', 'Fiction', 'Picture Books', 'Childrens', 'Animals', 'Fiction']",149,18,36,6,7,25,32,37
The Appointment,Herta Müller,3.39,3793,1997-01-01,208,"['Fiction', 'Historical Fiction', 'Romania', 'Nobel Prize', 'German Literature', 'Literature', 'Literary Fiction', 'Fiction', 'Historical Fiction', 'Romania', 'Nobel Prize', 'German Literature', 'Literature', 'Literary Fiction', 'Fiction', 'Historical Fiction', 'Romania', 'Nobel Prize', 'German Literature', 'Literature', 'Literary Fiction', 'Fiction', 'Historical Fiction', 'Romania', 'Nobel Prize', 'German Literature', 'Literature', 'Literary Fiction', 'Fiction', 'Historical Fiction', 'Romania', 'Nobel Prize', 'German Literature', 'Literature', 'Literary Fiction']",1086,535,90,203,518,1297,1150,625
The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity,Lee Strobel,4.25,36145,2000-01-01,300,"['Christian', 'Nonfiction', 'Religion', 'Christianity', 'Faith', 'Theology', 'Christian Living']",1387,645,261,775,1171,4884,10753,18562
Dialogues with the Devil,Taylor Caldwell,4.07,507,1967-01-01,0,"['Fiction', 'Religion', 'Fantasy', 'Novels', 'Classics', 'Spirituality', 'Christian']",467,56,243,9,22,103,165,208
An Acceptable Time,Madeleine L'Engle,3.79,22325,1989-01-01,368,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Childrens', 'Classics', 'Time Travel']",8608,1197,183,411,1671,6225,7811,6207
Every Eye,Isobel English,3.46,256,1956-01-01,119,"['Fiction', '20th Century', 'Literary Fiction', 'British Literature', 'Female Authors', 'Adult', 'Novels', 'Fiction', '20th Century', 'Literary Fiction', 'British Literature', 'Female Authors', 'Adult', 'Novels', 'Fiction', '20th Century', 'Literary Fiction', 'British Literature', 'Female Authors', 'Adult', 'Novels']",6,48,7,7,33,94,78,44
Concerning the Spiritual in Art,Wassily Kandinsky,3.84,86144,1912-01-01,80,"['Art', 'Nonfiction', 'Philosophy', 'Art History', 'Spirituality', 'Religion', 'Classics', 'Art', 'Nonfiction', 'Philosophy', 'Art History', 'Spirituality', 'Religion', 'Classics', 'Art', 'Nonfiction', 'Philosophy', 'Art History', 'Spirituality', 'Religion', 'Classics']",276,494,168,5806,6826,17330,21411,34771
Sharpe's Trafalgar,Bernard Cornwell,4.13,13377,2000-01-01,372,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'Adventure', 'Military Fiction', 'Audiobook']",17200,442,433,44,302,2504,5575,4952
Enigma Otiliei,George Călinescu,3.66,18499,1938-01-01,564,"['Romanian Literature', 'Classics', 'Fiction', 'School', 'Romance', 'Read For School', 'Literature']",97,466,74,585,1848,5345,6224,4497
Who in Hell Is Wanda Fuca?,G.M. Ford,3.88,2260,1995-01-01,320,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Humor']",222,178,28,46,107,553,929,625
The Tragedy of American Compassion,Marvin Olasky,4.06,283,1992-03-01,302,"['Politics', 'History', 'Economics', 'Nonfiction', 'American History', 'Cultural', 'Christian', 'Politics', 'History', 'Economics', 'Nonfiction', 'American History', 'Cultural', 'Christian', 'Politics', 'History', 'Economics', 'Nonfiction', 'American History', 'Cultural', 'Christian']",37,44,53,10,8,53,97,115
Secrets of the Shopping Mall,Richard Peck,3.62,483,1978-01-01,192,"['Young Adult', 'Fiction', 'Childrens', 'Contemporary', 'Fantasy', 'Adventure', 'Mystery']",688,72,111,4,56,162,157,104
The Bridesmaid,Ruth Rendell,3.63,2256,1989-01-01,259,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Suspense', 'Psychological Thriller', 'British Literature']",1514,195,454,75,214,666,807,494
The Casting of Bells,Jaroslav Seifert,3.74,39,1967-08-01,64,"['Poetry', 'Poetry', 'Poetry', 'Poetry', 'Poetry']",67,8,126,0,3,13,14,9
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Gordon B. Hinckley,4.6,14421,2000-02-22,256,"['Religion', 'Nonfiction', 'Lds', 'Church', 'Self Help', 'Inspirational', 'Spirituality']",348,768,97,173,193,844,2810,10401
After the Night,Linda Howard,4.06,25687,1995-12-01,352,"['Romance', 'Contemporary Romance', 'Romantic Suspense', 'Contemporary', 'Suspense', 'Mystery', 'Adult']",6852,1569,279,534,1232,4644,8969,10308
The Bum's Rush,G.M. Ford,3.98,1341,1997-05-01,320,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Detective', 'Humor']",222,62,28,10,48,316,549,418
Felicity: An American Girl,Valerie Tripp,4.04,7328,1992-01-01,412,"['Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Middle Grade', 'Young Adult', 'Juvenile']",370,216,254,142,320,1676,2181,3009
Open Boat,Stephen Crane,3.65,4453,1897-01-01,64,"['Short Stories', 'Classics', 'Fiction', 'American', 'School', 'Literature', 'Read For School']",746,330,1781,123,439,1357,1506,1028
The Silver Branch,Rosemary Sutcliff,3.94,2729,1957-01-01,272,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Adventure', 'Childrens', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Adventure', 'Childrens', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Adventure', 'Childrens']",620,239,121,30,111,647,1159,782
The Case of the Borrowed Brunette,Erle Stanley Gardner,3.86,849,1946-01-01,201,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Classics', 'Mystery Thriller', 'Thriller']",729,75,1110,9,38,240,338,224
"Very Good, Jeeves",P.G. Wodehouse,4.3,12550,1930-01-01,297,"['Fiction', 'Humor', 'Classics', 'Short Stories', 'Comedy', 'British Literature', 'Audiobook']",6441,794,1129,117,189,1375,4988,5881
The Fall of Hyperion,Dan Simmons,4.23,125014,1990-03-01,517,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Time Travel']",11900,4954,314,1114,3914,17734,44700,57552
Rolling Stone Encyclopedia of Rock & Roll,Rolling Stone Magazine,4.09,587,1983-01-01,1136,"['Music', 'Nonfiction', 'Reference', 'History', 'Childrens', 'Rock N Roll', 'Cultural', 'Music', 'Nonfiction', 'Reference', 'History', 'Childrens', 'Rock N Roll', 'Cultural', 'Music', 'Nonfiction', 'Reference', 'History', 'Childrens', 'Rock N Roll', 'Cultural', 'Music', 'Nonfiction', 'Reference', 'History', 'Childrens', 'Rock N Roll', 'Cultural', 'Music', 'Nonfiction', 'Reference', 'History', 'Childrens', 'Rock N Roll', 'Cultural']",34,30,222,4,25,124,198,236
Infatuarea fatală: erorile socialismului,Friedrich A. Hayek,4.23,2272,1988-01-01,188,"['Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Sociology', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Sociology', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Sociology']",1464,158,235,43,89,299,717,1124
Owls in the Family,Farley Mowat,4.1,5428,1961-01-01,91,"['Fiction', 'Childrens', 'Animals', 'Canada', 'Classics', 'Middle Grade', 'Nature', 'Fiction', 'Childrens', 'Animals', 'Canada', 'Classics', 'Middle Grade', 'Nature', 'Fiction', 'Childrens', 'Animals', 'Canada', 'Classics', 'Middle Grade', 'Nature']",599,509,136,68,176,1024,2043,2117
Sonnets to Orpheus,Rainer Maria Rilke,4.25,3623,1923-01-01,162,"['Poetry', 'Classics', 'German Literature', '20th Century', 'Fiction', 'Literature', 'Germany', 'Poetry', 'Classics', 'German Literature', '20th Century', 'Fiction', 'Literature', 'Germany', 'Poetry', 'Classics', 'German Literature', '20th Century', 'Fiction', 'Literature', 'Germany']",5861,285,1443,20,104,549,1226,1724
Winter Words: Poetry and Personal Writings of Thomas Hardy,Thomas Hardy,3.85,40,1928-01-01,0,"['Poetry', 'Classics', 'Poetry', 'Classics', 'Poetry', 'Classics', 'Poetry', 'Classics', 'Poetry', 'Classics']",5987,11,1743,0,2,15,10,13
On the Trail of the Assassins: One Man's Quest to Solve the Murder of President Kennedy,Jim Garrison,4.06,1987,1988-01-01,342,"['History', 'Nonfiction', 'True Crime', 'Politics', 'Crime', 'Historical', 'Conspiracy Theories']",33,141,36,50,82,349,721,785
The Far Side Gallery 3,Gary Larson,4.43,26067,1984-01-01,192,"['Comics', 'Humor', 'Graphic Novels', 'Comedy', 'Fiction', 'Comic Strips', 'Cartoon']",676,157,124,188,405,2751,7410,15313
Colas Breugnon,Romain Rolland,3.79,590,1919-01-01,242,"['Fiction', 'Classics', 'France', 'Nobel Prize', 'French Literature', 'Literature', '20th Century']",424,49,1149,25,56,131,184,194
Find a Victim,Ross Macdonald,3.94,1480,1954-01-01,224,"['Mystery', 'Fiction', 'Crime', 'Noir', 'Detective', 'Thriller', 'Hard Boiled']",733,159,184,8,45,359,684,384
"Don Quixote, U.S.A.",Richard  Powell,4.28,253,1966-01-01,192,"['Fiction', 'Humor']",16,36,36,1,12,33,76,131
Among the Shadows: Tales from the Darker Side,L.M. Montgomery,3.86,1903,1990-04-01,284,"['Short Stories', 'Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Mystery', 'Romance']",11500,132,2107,18,113,532,695,545
The Woman's Comfort Book,Jennifer Louden,3.97,1228,1992-03-27,209,"['Self Help', 'Nonfiction', 'Womens', 'Psychology', 'Health', 'Personal Development', 'Reference']",237,56,29,20,80,275,390,463
Hitchcock/Truffaut,François Truffaut,4.48,8262,1966-01-01,368,"['Film', 'Nonfiction', 'Biography', 'Media Tie In', 'Art', 'History', 'Writing', 'Film', 'Nonfiction', 'Biography', 'Media Tie In', 'Art', 'History', 'Writing', 'Film', 'Nonfiction', 'Biography', 'Media Tie In', 'Art', 'History', 'Writing']",207,527,133,31,91,659,2555,4926
"The Arctic Grail: The Quest for the Northwest Passage and the North Pole, 1818-1909",Pierre Berton,4.36,713,1988-11-01,672,"['History', 'Nonfiction', 'Canada', 'Travel', 'Adventure', 'World History', 'Historical']",180,71,150,8,6,74,257,368
Charming the Prince,Teresa Medeiros,3.91,6356,1999-04-06,342,"['Historical Romance', 'Romance', 'Historical', 'Medieval', 'Historical Fiction', 'Medieval Romance', 'Fairy Tales']",2521,434,49,100,363,1597,2272,2024
Final Flight,Stephen Coonts,4.07,6272,1988-08-01,387,"['Fiction', 'Thriller', 'Military Fiction', 'Aviation', 'Action', 'Adventure', 'Espionage']",712,94,157,43,204,1332,2409,2284
Meet Addy,Connie Rose Porter,4.11,9999,1993-09-01,69,"['Historical Fiction', 'Childrens', 'Fiction', 'Historical', 'Middle Grade', 'Civil War', 'Young Adult']",92,361,32,113,388,2161,2931,4406
Bear Island,Alistair MacLean,3.6,3747,1971-01-01,464,"['Thriller', 'Fiction', 'Adventure', 'Mystery', 'Suspense', 'Action', 'Crime']",1089,137,334,59,323,1345,1344,676
There Was an Old Lady Who Swallowed a Fly,Simms Taback,4.23,61218,1997-01-01,36,"['Picture Books', 'Childrens', 'Poetry', 'Fiction', 'Animals', 'Humor', 'Fantasy']",60,1177,80,1209,2769,9855,14108,33277
Wicked Loving Lies,Rosemary Rogers,3.91,2113,1976-01-01,768,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Harem', 'Pirates', 'Fiction']",387,110,89,109,140,416,623,825
Exercises in Style,Raymond Queneau,4.06,11429,1947-04-28,204,"['Fiction', 'France', 'Short Stories', 'Writing', 'Classics', 'French Literature', 'Literature', 'Fiction', 'France', 'Short Stories', 'Writing', 'Classics', 'French Literature', 'Literature', 'Fiction', 'France', 'Short Stories', 'Writing', 'Classics', 'French Literature', 'Literature']",517,989,192,137,506,2258,4213,4315
Αριάγνη,Στρατής Τσίρκας,4.32,558,1962-01-01,405,"['Fiction', 'Literature', 'Historical Fiction', 'Classics', 'Historical', 'Fiction', 'Literature', 'Historical Fiction', 'Classics', 'Historical', 'Fiction', 'Literature', 'Historical Fiction', 'Classics', 'Historical']",36,26,30,5,12,68,189,284
Aurélien,Louis Aragon,4.29,1667,1944-01-01,816,"['France', 'Classics', 'Fiction', 'French Literature', 'Roman', 'Romance', 'Novels']",294,127,264,14,61,215,507,870
The Vicious Vikings,Terry Deary,3.98,2971,1994-01-01,128,"['History', 'Nonfiction', 'Childrens', 'Humor', 'Historical', 'Comedy', 'Middle Grade', 'History', 'Nonfiction', 'Childrens', 'Humor', 'Historical', 'Comedy', 'Middle Grade', 'History', 'Nonfiction', 'Childrens', 'Humor', 'Historical', 'Comedy', 'Middle Grade']",723,141,539,18,127,752,1076,998
Zeul care a dat greş,Richard Crossman,4.01,406,1949-01-01,332,"['History', 'Politics', 'Nonfiction', 'Philosophy', 'Essays', 'Russia', 'Economics', 'History', 'Politics', 'Nonfiction', 'Philosophy', 'Essays', 'Russia', 'Economics', 'History', 'Politics', 'Nonfiction', 'Philosophy', 'Essays', 'Russia', 'Economics', 'History', 'Politics', 'Nonfiction', 'Philosophy', 'Essays', 'Russia', 'Economics', 'History', 'Politics', 'Nonfiction', 'Philosophy', 'Essays', 'Russia', 'Economics']",7,61,34,7,22,77,155,145
Mr. Bridge,Evan S. Connell,4.0,2512,1969-01-01,246,"['Fiction', 'Classics', 'Historical Fiction', 'Novels', 'Literary Fiction', 'American', '20th Century']",140,315,55,23,114,491,1086,798
Foxfire: Confessions of a Girl Gang,Joyce Carol Oates,3.78,7815,1993-08-01,328,"['Fiction', 'Feminism', 'Historical Fiction', 'Young Adult', 'Contemporary', 'Literature', 'Coming Of Age']",8243,526,837,155,513,2120,3097,1930
The Pinch Runner Memorandum,Ōe Kenzaburō,3.48,103,1976-01-01,270,"['Japanese Literature', 'Japan', 'Fiction', 'Novels', 'Japanese Literature', 'Japan', 'Fiction', 'Novels', 'Japanese Literature', 'Japan', 'Fiction', 'Novels', 'Japanese Literature', 'Japan', 'Fiction', 'Novels', 'Japanese Literature', 'Japan', 'Fiction', 'Novels']",10,10,10,3,12,37,35,16
Sport,Louise Fitzhugh,3.75,1010,1980-03-28,240,"['Fiction', 'Childrens', 'Middle Grade', 'Mystery', 'Young Adult', 'Classics', 'Realistic Fiction']",451,78,16,25,60,310,362,253
Low Country,Anne Rivers Siddons,3.98,18625,1998-01-01,461,"['Fiction', 'Southern', 'Chick Lit', 'Romance', 'Contemporary', 'Womens Fiction', 'Drama']",1106,236,50,192,652,4487,7258,6036
"The Visual Display of Quantitative Information, 2nd Ed.",Edward R. Tufte,4.39,8235,1983-01-01,197,"['Design', 'Nonfiction', 'Science', 'Business', 'Reference', 'Art', 'Mathematics']",658,587,14,40,158,890,2608,4539
If I Had You,Lynn Kurland,4.19,2429,2000-10-01,433,"['Romance', 'Historical Romance', 'Historical', 'Time Travel', 'Medieval', 'Historical Fiction', 'Fantasy']",1514,104,55,21,74,388,881,1065
Fascism and Big Business,Daniel Guérin,4.19,118,1936-01-01,318,"['History', 'Politics', 'Economics', 'Nonfiction', 'Theory', 'Germany', 'Italy']",94,14,79,2,5,14,44,53
Season of the Machete,James Patterson,3.24,6896,1977-10-12,341,"['Mystery', 'Fiction', 'Thriller', 'Suspense', 'Mystery Thriller', 'Crime', 'Murder Mystery']",345000,321,1591,687,1130,2267,1457,1355
Drummer Boy for Montcalm,Wilma Pitchford Hays,3.88,8,1959-09-28,191,[],3,3,73,0,1,1,4,2
Lock 14,Georges Simenon,3.64,3076,1931-03-01,154,"['Mystery', 'Fiction', 'Crime', 'France', 'Detective', 'Mystery Thriller', 'Noir', 'Mystery', 'Fiction', 'Crime', 'France', 'Detective', 'Mystery Thriller', 'Noir', 'Mystery', 'Fiction', 'Crime', 'France', 'Detective', 'Mystery Thriller', 'Noir']",1870,367,2368,31,170,1172,1198,505
Quest for Lost Heroes,David Gemmell,4.12,9899,1990-01-01,291,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Heroic Fantasy', 'High Fantasy', 'Adventure', 'Science Fiction Fantasy']",3233,215,156,35,212,1968,3986,3698
Leaves of Hypnos,René Char,4.21,326,1946-01-01,237,"['Poetry', 'France', 'French Literature', 'Fiction', 'War', 'Philosophy', 'Poetry', 'France', 'French Literature', 'Fiction', 'War', 'Philosophy', 'Poetry', 'France', 'French Literature', 'Fiction', 'War', 'Philosophy']",114,37,181,6,10,49,105,156
Defy Not the Heart,Johanna Lindsey,4.07,8851,1989-01-01,432,"['Historical Romance', 'Romance', 'Historical', 'Medieval', 'Medieval Romance', 'Historical Fiction', 'Fiction']",6878,289,157,101,383,1916,2885,3566
The Groovy Greeks,Terry Deary,4.07,3802,1996-01-01,128,"['History', 'Nonfiction', 'Childrens', 'Historical', 'Humor', 'Middle Grade', 'Comedy']",723,203,539,29,133,776,1468,1396
Teoria socialismului și a capitalismului,Hans-Hermann Hoppe,4.3,475,1988-12-01,317,"['Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Business', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Business', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Business', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Business', 'Economics', 'Politics', 'Philosophy', 'Nonfiction', 'History', 'Political Science', 'Business']",483,31,98,13,13,46,150,253
"All This, and Heaven Too",Rachel Field,4.11,458,1929-01-01,596,"['Historical Fiction', 'Fiction', 'Classics', 'Romance', 'France', 'Mystery', 'Crime']",40,69,129,8,13,86,164,187
The.PowerBook,Jeanette Winterson,3.67,4803,2001-01-01,244,"['Fiction', 'Queer', 'LGBT', 'Novels', 'Contemporary', 'Literary Fiction', 'Fantasy']",6769,338,112,146,475,1387,1581,1214
There Are Alligators in Our Sewers and Other American Credos,Paul Dickson,2.83,12,1983-02-01,0,"['Nonfiction', 'Nonfiction', 'Nonfiction']",37,3,129,1,3,6,1,1
